date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2020-03-22,82893.55961066062,852.332603849476,762.3577309424647,210,94,34,97,107,40,15,0,0,0
2020-03-23,82834.93448356763,703.732603849476,2639.8621073100794,324,378,280,328,342,252,46,0,0,0
2020-03-24,81165.80935647464,970.7369802170908,2438.7768800373524,324,128,214,289,420,310,58,0,0,0
2020-03-25,79781.19802808294,1054.1655516456624,2206.860213370686,375,119,177,240,367,278,60,0,0,0
2020-03-26,78472.50336635792,898.1655516456623,1895.3538641643365,313,139,115,187,335,228,38,0,0,0
2020-03-27,77556.70076812497,979.5512659313766,1818.4788641643365,351,158,93,164,313,201,40,0,0,0
2020-03-28,76629.39816989201,891.1762659313766,568.5899752754476,188,57,29,33,76,31,12,0,0,0
2020-03-29,76908.98446054793,848.1762659313766,622.7566419421142,240,71,32,37,45,43,7,0,0,0
2020-03-30,76998.07075120386,711.8429325980433,1690.9788641643365,292,334,146,123,208,194,44,0,0,0
2020-03-31,76152.6570418598,845.5651548202655,1632.3701685121625,270,130,114,91,269,212,68,0,0,0
2020-04-01,75436.30583251572,916.0189591680916,1833.1062796232736,320,134,146,129,315,194,77,0,0,0
2020-04-02,74529.84351206054,926.6439591680916,1639.9753272423213,290,130,92,122,272,216,57,0,0,0
2020-04-03,73907.32067573235,894.4524909141234,1509.9662363332304,313,125,96,100,233,217,53,3,0,0
2020-04-04,73201.60693031324,804.2524909141233,581.4523474443415,203,60,30,39,61,42,13,0,0,0
2020-04-05,73279.68683568778,659.5322528188852,547.4523474443415,175,66,25,25,41,45,20,0,0,0
2020-04-06,73338.76674106233,606.5322528188852,1463.4454029998972,246,231,144,77,172,209,41,4,0,0
2020-04-07,72680.6660908813,805.3447528188852,1366.5565141110083,265,119,138,80,173,199,61,6,0,0
2020-04-08,72147.45432958919,833.3447528188852,1330.7447494051257,308,112,101,78,141,178,64,9,0,0
2020-04-09,71655.89837523522,839.1887950511627,1541.8370113098877,276,117,70,103,164,183,71,3,0,0
2020-04-10,71131.69658754794,1017.6352236225913,1184.4925668654432,256,113,63,57,103,127,37,4,0,0
2020-04-11,70973.77257763842,1026.5685569559246,491.17438504726147,204,51,24,21,30,40,12,3,0,0
2020-04-12,71184.75765863799,702.1594660468337,502.67438504726147,179,89,19,20,18,38,8,3,0,0
2020-04-13,71351.74273963756,669.6594660468337,1429.4243850472615,266,282,154,84,104,158,78,10,0,0
2020-04-14,70740.47782063713,818.1594660468337,1358.2918092896857,304,118,122,87,110,202,74,14,0,0
2020-04-15,70240.32729557609,858.1412842286519,1277.9584759563525,278,106,94,82,114,167,71,13,0,0
2020-04-16,69837.7601038484,875.3912842286519,1321.9217238196002,299,145,77,74,109,178,56,19,0,0
2020-04-17,69444.61075400104,928.7723739722417,1210.699501597378,363,105,73,60,101,181,52,9,0,0
2020-04-18,69221.46140415368,987.5501517500195,541.7828349307114,251,41,24,24,19,48,10,2,0,0
2020-04-19,69468.539236846,788.8606676230353,524.1161682640446,217,78,16,19,17,40,14,2,0,0
2020-04-20,69614.70040287166,670.277334289702,1288.7364063592827,273,281,121,76,77,115,60,15,0,0
2020-04-21,69309.48656889732,983.5225723849401,1276.583502890203,352,115,125,76,82,156,64,13,0,0
2020-04-22,69012.9234702171,980.0204042099778,1147.7183513750513,324,115,119,68,66,116,70,16,0,0
2020-04-23,68895.58461396111,950.3794951190687,1168.9048593115592,326,119,95,69,87,119,69,15,0,0
2020-04-24,68696.17631326069,969.4965586111322,1229.342422397356,369,142,81,78,57,145,74,21,0,0
2020-04-25,68590.19757276213,1123.3636818988034,549.3536403460739,258,62,23,19,22,37,9,4,0,0
2020-04-26,68927.28453739178,886.4406049757265,592.7536403460739,236,91,23,20,17,29,28,9,0,0
2020-04-27,69102.6881686881,768.1572716423932,1382.1874648548985,310,352,116,80,94,111,71,24,0,0
2020-04-28,68725.05444012205,1004.5537362888579,1206.607919400353,297,141,131,84,77,112,61,25,0,0
2020-04-29,68598.25025701057,1079.8037362888579,1398.6555072645067,348,114,107,104,89,106,76,19,0,0
2020-04-30,68264.51703708888,1064.9222873428273,1260.905507264507,326,178,76,118,90,115,68,21,0,0
2020-05-01,68066.2838171672,1062.6722873428273,1221.9262406529822,363,148,99,100,78,106,61,25,0,0
2020-05-02,67909.07448062021,1064.7169041059924,611.7262406529821,284,67,43,30,26,26,26,7,0,0
2020-05-03,68255.75403296211,958.4057929948814,635.907400073272,277,97,43,19,17,25,18,8,0,0
2020-05-04,68459.47706356489,839.6304306760408,1430.2684501343222,334,365,145,80,77,82,93,25,0,0
2020-05-05,68158.14637654024,1128.937763109689,1264.9767834676554,366,139,143,100,83,88,77,26,0,0
2020-05-06,68020.27402284896,1127.1044297763558,1146.246263987136,358,144,102,69,79,83,75,19,0,0
2020-05-07,68037.34647435245,1163.3187154906414,1297.1069782728503,369,160,116,106,85,111,69,34,0,0
2020-05-08,67940.84214014167,1200.6026440620699,1285.9990237273958,445,190,92,91,69,79,64,27,0,0
2020-05-09,67809.54235138545,1154.6992349711609,627.9990237273956,298,76,35,30,25,24,22,10,0,0
2020-05-10,68158.74256262921,977.1992349711609,612.6785109068828,289,101,30,26,20,17,22,3,0,0
2020-05-11,68439.59662002682,893.5325683044942,2037.8326165234885,405,348,192,111,84,97,107,54,0,0
2020-05-12,67857.45133371258,1455.687330209256,1326.9375116283836,370,118,171,85,87,69,97,34,0,0
2020-05-13,67712.63821523052,1182.124393146319,1345.2152894061612,402,161,159,102,78,73,92,35,0,0
2020-05-14,67734.43620785957,1367.013282035208,1276.2152894061612,411,157,95,98,89,77,72,37,0,0
2020-05-15,67743.73420048862,1285.513282035208,1305.2152894061612,464,172,85,85,84,74,72,50,0,0
2020-05-16,67869.865526451,1431.3466153685413,696.9510036918756,359,84,43,22,25,22,17,5,0,0
2020-05-17,68245.30399527051,1072.3894725113985,668.2165048573768,291,113,38,26,18,14,20,13,0,0
2020-05-18,68538.18488833247,961.0973979193238,1651.3890194772598,399,413,214,98,74,78,87,34,0,0
2020-05-19,68173.64911472774,1286.8532458725401,1425.6390194772598,401,130,206,107,77,78,85,51,0,0
2020-05-20,68242.61334112303,1494.6032458725401,1478.7840411222815,443,180,147,94,91,65,114,69,0,0
2020-05-21,70324.39683158757,1335.567531586826,1589.3353231735634,403,196,123,95,96,81,123,72,0,0
2020-05-22,70214.38545025724,1479.323941843236,1451.7603231735636,489,263,117,127,99,86,91,76,0,0
2020-05-23,70272.22406892691,1509.5989418432362,744.417790706031,342,84,43,34,18,16,18,14,0,0
2020-05-24,70826.03548891807,1298.2292106971893,841.2575342957747,410,120,63,26,24,11,20,12,0,0
2020-05-25,71100.81272087504,1116.0347662527447,771.590867629108,262,118,57,34,17,12,21,5,0,0
2020-05-26,71419.66138140344,1090.4395281575066,1823.1492009624412,347,369,332,101,112,69,62,50,0,0
2020-05-27,71051.57670859851,1455.0645281575066,1457.7497504129908,475,148,178,105,98,71,69,52,0,0
2020-05-28,71035.5782690048,1441.7513108192893,1651.142607555848,448,235,154,156,144,78,57,60,0,0
2020-05-29,70937.0798294111,1552.6441679621464,1586.142607555848,507,242,132,112,126,94,61,62,0,0
2020-05-30,70815.74805648407,1464.8108346288132,737.6176075558479,393,87,47,30,33,10,12,23,0,0
2020-05-31,71224.71628355703,1146.5858346288132,722.7068932701336,324,98,45,27,43,17,23,26,0,0
2020-06-01,71531.48808205857,1029.4786917716704,1784.420928357853,414,421,250,123,124,59,52,63,0,0
2020-06-02,71021.7458454724,1274.6786917716704,1522.886837448762,429,168,212,115,119,72,63,84,0,0
2020-06-03,70898.59388666399,1399.7348786403572,1718.044521431446,457,160,175,164,148,105,77,112,0,0
2020-06-04,70738.63651660016,1558.08715136763,1451.308588073099,491,172,143,95,115,79,38,69,0,0
2020-06-05,70630.83922431454,1343.511295787464,1504.9752547397654,439,196,118,132,154,74,49,72,0,0
2020-06-06,70727.0419320289,1601.1779624541307,720.490406254917,369,79,52,42,30,18,8,19,0,0
2020-06-07,71185.97191247053,1179.420386696555,795.0774025919134,394,114,82,29,31,19,7,16,0,0
2020-06-08,71450.80665481693,998.9121449383132,1823.9748187828077,402,452,230,114,115,82,57,93,0,0
2020-06-09,71162.96698638893,1453.135150354797,2077.408914882786,434,145,224,136,137,84,70,151,0,0
2020-06-10,72056.9411152747,2072.3830437685724,1733.5340931396438,544,196,194,140,148,94,44,130,0,0
2020-06-11,72029.86040396254,1706.4533818274604,1819.904681374938,519,260,147,158,171,90,58,112,0,0
2020-06-12,72033.55518284642,1823.5994602588328,1605.7352598873347,542,261,111,123,135,63,42,71,0,0
2020-06-13,71858.86153197825,1431.0416090191634,717.2887952408701,261,127,62,44,37,21,9,20,0,0
2020-06-14,72407.9901033323,1266.4173665949208,707.2887952408701,289,121,61,43,33,20,8,19,0,0
2020-06-15,72863.11867468635,1162.4173665949208,1877.0874965395715,438,424,246,136,132,86,50,92,0,0
2020-06-16,72580.45287374604,1594.42169559925,1713.3374965395712,454,214,255,152,128,83,42,95,0,0
2020-06-17,72633.40929502793,1618.2939178214722,1661.3374965395715,428,199,216,151,137,96,46,102,0,0
2020-06-18,72555.08000202411,1583.008203535758,1720.0702260081705,462,252,154,163,170,106,51,102,0,0
2020-06-19,72547.12806409277,1712.1182880768206,1731.0702260081705,507,232,155,160,145,94,34,100,0,0
2020-06-20,72518.67612616142,1702.6182880768206,710.7992469871914,318,116,66,48,34,22,7,25,0,0
2020-06-21,73027.60297610886,1219.7260969346296,640.7992469871914,293,120,46,30,26,18,11,23,0,0
2020-06-22,73614.5298260563,1227.7260969346296,1924.090913653858,494,461,242,130,107,110,38,103,0,0
2020-06-23,73322.24193241399,1631.8030200115527,1786.3032762912208,430,224,305,184,163,117,43,86,0,0
2020-06-24,73280.23810470576,1744.2994485829813,2117.8032762912208,484,257,206,155,179,131,48,108,0,0
2020-06-25,73105.23427699751,1942.7994485829813,1899.3895888550614,453,261,183,182,219,94,36,138,0,0
2020-06-26,73021.55742693086,1815.7127387884063,1609.0620959424518,495,280,190,150,134,91,30,62,0,0
2020-06-27,73076.64514485314,1664.1498138647455,718.562095942452,334,97,66,43,53,28,12,27,0,0
2020-06-28,73585.56619610878,1227.4831471980788,689.8802777606338,257,138,51,38,44,17,5,17,0,0
2020-06-29,74043.75997463713,1148.0740562889878,1829.4555040049777,404,439,277,143,137,90,32,90,0,0
2020-06-30,73730.44187533743,1516.1374047052775,1634.3305040049777,397,221,277,148,135,103,39,96,0,0
2020-07-01,73728.4154427044,1632.304071371944,1810.7343501588239,453,213,245,173,201,135,43,106,0,0
2020-07-02,73558.68516391751,1641.004071371944,1742.0070774315511,483,230,189,152,202,110,41,105,0,0
2020-07-03,73322.86397603973,1506.1858895537623,896.3404107648844,324,146,110,80,66,41,14,37,0,0
2020-07-04,73716.37612149527,1289.852556220429,661.3404107648844,300,117,56,28,34,22,4,14,0,0
2020-07-05,74333.26326695082,1278.227556220429,697.3404107648844,325,155,50,33,30,15,8,17,0,0
2020-07-06,74885.07348932944,1249.150633143506,2039.4897036941773,493,457,354,168,150,120,38,91,0,0
2020-07-07,74378.6071460515,1533.0233604162331,2091.3647036941775,411,248,318,204,275,142,72,155,2,0
2020-07-08,74397.76580277355,2110.523360416233,2213.3289894084633,487,221,213,168,249,193,92,230,8,0
2020-07-09,75361.96017378132,3177.523360416233,1907.8845449640187,515,278,159,178,212,142,56,132,2,0
2020-07-10,75358.2656559002,1904.1900270828999,1663.9754540549277,529,277,137,136,168,126,35,81,2,0
2020-07-11,75299.07113801908,1604.7809361738089,735.9754540549277,321,139,73,43,38,25,9,16,1,0
2020-07-12,75917.37662013796,1354.2809361738089,746.9754540549277,327,147,70,46,37,31,15,16,0,0
2020-07-13,76410.68210225685,1240.2809361738089,2570.6527267822003,495,502,383,164,193,161,82,154,11,0
2020-07-14,75958.57849346663,2118.549117991991,1718.4113806283542,443,190,310,136,181,119,41,100,2,0
2020-07-15,76116.88748083028,1876.7203679919908,1901.4113806283542,546,235,267,187,193,127,52,98,2,0
2020-07-16,76072.19646819391,1856.7203679919908,1798.8305683034243,549,261,191,165,185,137,41,87,1,0
2020-07-17,75976.99215023541,1703.6262503449318,1744.8305683034243,508,318,174,164,186,108,38,88,3,0
2020-07-18,75942.28783227692,1710.1262503449318,707.2750127478688,326,99,67,46,47,34,11,20,0,0
2020-07-19,76559.47240320731,1324.4595836782653,710.1083460812021,328,138,63,50,36,22,8,16,1,0
2020-07-20,77030.49030747105,1181.1262503449318,2421.039989706394,506,535,376,248,225,157,87,113,8,0
2020-07-21,76680.73862648132,2071.288308716668,1248.699080615485,355,139,193,120,115,88,25,49,2,0
2020-07-22,76711.28694549159,1279.2473996257586,1833.1752710916755,367,365,220,184,196,144,38,83,6,0
2020-07-23,76704.28764545426,1826.17597105433,2199.073539489944,566,269,214,242,303,199,60,124,5,0
2020-07-24,76615.19527182383,2109.981165859525,1359.4068728232771,458,178,125,121,117,82,20,48,3,0
2020-07-25,76684.26956486008,1428.481165859525,771.2850779514823,296,137,69,56,52,33,7,27,2,0
2020-07-26,77305.94642199889,1392.961935090294,726.8060569724614,340,132,40,38,43,26,7,19,3,0
2020-07-27,77764.74565676007,1185.6052917336508,2114.181056972461,439,489,321,155,182,140,40,64,6,0
2020-07-28,77186.16989152128,1535.6052917336506,1728.1802399789974,414,241,220,174,202,158,42,85,3,0
2020-07-29,77199.01079294912,1741.0211414068533,1836.3220581608155,499,238,214,169,221,157,59,74,4,0
2020-07-30,77057.62442164971,1694.9356868613988,1792.0720581608155,472,237,172,179,218,148,62,85,14,0
2020-07-31,77127.7380503503,1862.1856868613988,1755.7351533989108,545,273,137,174,198,132,43,70,9,0
2020-08-01,77191.13858381278,1819.1356868613989,812.4851533989107,366,124,68,58,62,34,10,13,4,0
2020-08-02,77706.28911727527,1327.6356868613989,749.9851533989107,316,144,49,51,53,36,11,15,0,0
2020-08-03,78241.43965073775,1285.1356868613989,2029.568486732244,498,503,251,154,191,126,48,86,13,0
2020-08-04,77827.2568508669,1615.3856868613989,1874.193486732244,445,248,259,163,214,166,71,113,14,0
2020-08-05,77697.44905099607,1744.3856868613989,1762.3518200655774,498,230,204,141,217,155,60,81,22,0
2020-08-06,77792.9579177919,1857.8606868613988,1923.7154564292136,562,271,193,201,242,165,66,99,22,0
2020-08-07,77707.92133004226,1838.6788686795805,1807.7154564292136,518,289,160,176,217,138,41,70,10,0
2020-08-08,77759.88474229262,1859.6788686795805,841.4821230958804,402,149,60,56,61,33,14,14,4,0
2020-08-09,78238.69815454299,1320.2955353462473,783.8003049140623,300,179,74,56,53,38,15,31,3,0
2020-08-10,78609.73883952062,1154.8409898917018,1930.6003049140622,434,513,274,152,159,131,67,69,14,0
2020-08-11,78420.37952449828,1741.2409898917017,2354.514590628348,507,227,283,178,211,184,80,86,17,0
2020-08-12,78567.85354280924,2501.988608939321,1860.8717334854907,476,211,209,183,206,174,62,96,12,0
2020-08-13,78595.37518016783,1888.3933708440827,1898.4626425764,477,294,175,202,191,185,92,82,15,0
2020-08-14,78551.16954479915,1854.2570072077192,1811.3235621166298,523,300,186,159,182,163,61,90,13,0
2020-08-15,78623.78535602425,1883.9393733417253,788.8721732277409,358,118,74,52,35,44,23,19,3,0
2020-08-16,79293.32130613823,1458.4081233417253,849.5071732277409,361,183,46,43,40,30,10,16,3,0
2020-08-17,79786.80725625221,1342.9931233417253,2199.7016176721854,496,519,331,158,191,145,53,64,18,0
2020-08-18,79336.15431747731,1749.0486788972808,2011.208410389272,481,274,307,184,218,181,76,77,23,0
2020-08-19,79297.1560472365,1972.2101401484479,1850.3512675321292,537,239,221,170,200,156,55,62,18,0
2020-08-20,79311.08634842423,1864.2815687198765,1917.0855442616892,532,276,187,205,200,193,62,81,14,0
2020-08-21,79403.4065867189,2009.4057825563546,1845.984262210407,591,256,161,156,221,155,60,64,17,0
2020-08-22,79537.01656860331,1979.594244094816,866.984262210407,384,118,69,52,48,50,14,12,6,0
2020-08-23,80171.62655048772,1501.594244094816,896.5175955437404,372,178,69,47,57,38,20,4,8,0
2020-08-24,80598.46986570547,1323.3609107614827,2046.2452501384682,498,509,272,172,155,131,57,65,15,0
2020-08-25,80315.44824497838,1763.2236294113966,2090.2452501384682,483,301,317,212,222,178,83,82,25,0
2020-08-26,80661.42662425131,2436.2236294113964,1865.3166787098967,601,230,203,177,209,160,89,61,20,0
2020-08-27,80734.26214638138,1938.152200839968,1940.4166787098966,473,281,179,209,237,221,69,70,38,0
2020-08-28,80836.05322406701,2042.2077563955236,1958.0166787098967,593,353,172,170,215,154,57,65,37,0
2020-08-29,80829.64430175265,1951.6077563955234,813.8166787098967,370,125,67,47,61,41,14,10,6,0
2020-08-30,81602.57982388271,1586.752200839968,814.4833453765633,373,172,74,36,46,38,8,10,3,0
2020-08-31,82269.01534601279,1480.9188675066346,2226.483345376563,504,518,347,163,160,158,58,80,19,0
2020-09-01,81924.45086814286,1881.9188675066346,2043.7055675987856,514,274,324,174,225,130,88,92,25,0
2020-09-02,81908.71972360626,2027.9744230621902,1995.1246152178333,533,267,228,192,251,169,70,66,43,0
2020-09-03,81968.51508700618,2054.9199786177455,2043.7874059155076,547,309,193,210,239,187,78,81,32,0
2020-09-04,81927.46161319678,2002.733932106118,2103.7874059155074,620,309,191,203,227,193,80,85,42,0
2020-09-05,81822.10813938739,1998.4339321061177,884.7874059155076,375,126,68,82,67,48,19,16,14,0
2020-09-06,82473.754665578,1536.433932106118,868.8124059155076,414,161,73,57,45,27,14,16,6,0
2020-09-07,82965.25119176862,1360.3089321061177,842.3838344869362,343,195,84,70,47,29,20,13,5,0
2020-09-08,83475.92232113382,1353.0549638521495,2326.9949455980473,492,463,443,223,199,149,86,85,36,0
2020-09-09,83066.09345049904,1917.1660749632606,2254.4949455980473,499,249,407,224,263,193,98,87,47,0
2020-09-10,82842.76457986425,2018.1660749632606,2020.7227233758251,521,277,257,209,234,193,90,71,32,0
2020-09-11,82789.65237589614,1967.6105194077052,1933.2227233758251,526,282,212,164,234,178,81,75,23,0
2020-09-12,82757.04017192802,1900.6105194077052,847.7227233758251,351,145,67,74,69,31,22,20,6,0
2020-09-13,83417.9279679599,1508.6105194077052,830.0996464527482,379,151,50,67,61,28,16,13,5,0
2020-09-14,83993.38243065844,1405.5541091512948,2252.7698845479863,478,509,326,216,207,156,95,76,37,0
2020-09-15,83575.65117907127,1835.0386329608186,2127.7698845479863,504,283,334,210,242,172,82,93,52,0
2020-09-16,83446.91992748411,1999.0386329608186,2089.2698845479863,581,236,251,198,227,186,110,95,44,0
2020-09-17,83328.18867589693,1970.5386329608186,2001.6587734368752,515,286,195,173,268,160,109,87,42,0
2020-09-18,83315.95742430977,1989.4275218497075,1998.2356965137983,586,308,252,159,228,163,71,81,41,0
2020-09-19,83275.01463426107,1957.292906465092,842.2356965137982,369,113,68,52,70,45,33,21,14,0
2020-09-20,83991.07184421236,1558.292906465092,872.1356965137983,395,156,70,50,65,36,12,16,13,0
2020-09-21,84430.21996325457,1311.2838155560012,2252.1356965137984,493,547,356,155,233,136,91,87,52,0
2020-09-22,84005.86808229677,1827.7838155560012,1981.1912520693538,489,240,296,168,232,172,107,75,45,0
2020-09-23,83906.07175689453,1881.3949266671125,2051.4400423919346,518,278,261,185,237,176,107,97,50,0
2020-09-24,83795.08499894096,1940.4532844383734,2148.2400423919344,535,295,197,209,293,221,87,105,35,0
2020-09-25,83572.72507025569,1925.880113706666,1882.2400423919344,571,274,160,155,215,168,79,79,40,0
2020-09-26,83696.86514157042,2006.3801137066662,905.7400423919344,400,125,74,65,82,46,18,23,15,0
2020-09-27,84232.50521288515,1441.3801137066662,804.6885473753231,335,185,66,44,44,39,14,15,7,0
2020-09-28,84759.83465297065,1332.0179874608189,2324.214863164797,527,537,320,180,183,175,99,128,39,0
2020-09-29,84282.66409305616,1847.0443032502926,2083.214863164797,485,255,296,194,249,191,88,129,42,0
2020-09-30,84133.49353314165,1934.0443032502926,2225.29819649813,567,261,290,205,287,257,112,148,66,0
2020-10-01,84220.32297322714,2312.127636583626,2196.721273421207,719,240,174,191,226,183,71,91,42,0
2020-10-02,83980.52304268327,1956.921342877332,2017.7432602063518,565,340,216,189,250,157,75,83,40,0
2020-10-03,83996.96735912048,2034.187576643566,890.4099268730184,348,128,77,62,71,63,30,21,6,0
2020-10-04,84534.4116755577,1427.8542433102325,763.0135854096038,303,171,68,53,48,22,16,13,9,0
2020-10-05,85031.61208955589,1260.2139994077936,2248.1020702580886,458,512,308,185,188,176,96,111,57,0
2020-10-06,84588.7640187056,1805.2539994077936,2633.6020702580886,499,291,341,213,282,274,172,204,78,0
2020-10-07,84334.41594785529,2379.253999407794,1997.6020702580886,502,256,233,166,233,168,94,146,63,0
2020-10-08,84305.067877005,1968.2539994077936,2068.6020702580886,490,303,204,199,248,190,108,134,42,0
2020-10-09,84186.71980615471,1950.2539994077936,1880.3251471811654,537,281,201,185,217,166,87,89,34,0
2020-10-10,84309.88840197107,2003.493742997537,822.9918138478322,351,124,85,74,56,33,24,17,9,0
2020-10-11,84916.72366445411,1429.8270763308706,842.706099562118,375,165,74,47,54,36,13,14,8,0
2020-10-12,85305.4160697943,1231.398504902299,1738.2218228325582,403,426,273,144,148,129,62,56,12,0
2020-10-13,85140.05187136089,1572.8576243991545,2232.1477487584843,442,311,401,185,215,161,92,128,48,0
2020-10-14,84979.40711737193,2071.502994769525,2121.1988125882713,513,255,321,207,230,188,92,116,52,0
2020-10-15,84840.1162640922,1981.9079593085319,2006.5321459216048,526,249,234,218,204,195,82,103,44,0
2020-10-16,84758.82541081245,1925.2412926418651,2076.5169944064533,591,309,219,275,229,188,76,118,47,0
2020-10-17,84520.21637571453,1837.9079593085319,837.9906786169795,311,103,87,73,49,45,18,17,4,0
2020-10-18,85017.44067394994,1335.2149768523916,751.8240119503129,264,145,59,44,41,33,11,13,11,0
2020-10-19,85512.5983055187,1246.9816435190583,2019.857345283646,478,457,301,158,168,136,75,95,26,0
2020-10-20,85305.15593708743,1812.4149768523916,2120.649011950313,500,283,288,186,226,221,103,130,40,0
2020-10-21,85053.42190198951,1868.9149768523916,1974.9536096514623,511,252,228,166,228,158,103,106,53,0
2020-10-22,85169.88863821645,2091.420345878405,2132.453609651462,577,325,194,226,289,222,126,189,46,0
2020-10-23,84950.4253744434,1912.990345878405,2016.8172460150986,486,325,199,165,219,157,66,104,39,0
2020-10-24,84982.70453491276,2049.0964064844657,950.3172460150986,357,131,77,65,77,54,26,24,5,0
2020-10-25,85407.48369538214,1375.0964064844654,888.8172460150986,318,206,56,44,48,40,16,27,6,0
2020-10-26,85690.2628558515,1171.5964064844654,2337.3870658349183,479,533,332,175,220,203,96,130,45,0
2020-10-27,85168.79426857313,1815.9184785565376,2066.8870658349183,448,235,320,166,230,212,113,152,53,0
2020-10-28,84906.82568129474,1804.9184785565376,2203.6620658349184,439,249,281,192,281,187,101,160,79,0
2020-10-29,84547.98209401636,1844.8184785565375,1967.3287325015851,488,256,195,198,252,178,95,119,46,0
2020-10-30,84417.09088769036,1836.4375261755852,1914.1620658349184,519,293,164,193,213,166,60,90,41,0
2020-10-31,84326.53301469769,1823.604192842252,809.8862037659529,365,122,62,53,58,36,23,22,9,0
2020-11-01,84864.68203825675,1348.0352273250105,781.1862037659529,326,143,66,44,48,25,20,29,10,0
2020-11-02,85448.9310618158,1365.4352273250104,2079.1195370992864,503,516,248,162,176,169,78,104,28,0
2020-11-03,85012.84675204153,1643.0352273250105,1733.4195370992863,476,309,308,220,245,198,95,120,44,0
2020-11-04,84951.86244226726,1672.4352273250104,1882.9195370992861,364,178,151,121,170,132,68,102,36,0
2020-11-05,84735.87813249297,1666.9352273250104,1970.2528704326196,542,205,219,195,221,207,77,103,42,0
2020-11-06,84787.10810843299,2021.4828463726294,1978.0028704326196,570,265,171,181,254,217,90,92,39,0
2020-11-07,84824.838084373,2015.7328463726294,872.7528704326196,385,142,64,57,56,50,23,32,8,0
2020-11-08,85333.943060313,1381.8578463726294,795.9528704326195,297,184,64,54,52,44,21,14,7,0
2020-11-09,85707.04803625302,1169.0578463726295,2085.8547494203044,407,547,298,165,188,176,77,88,30,0
2020-11-10,85346.77438631922,1725.5810994865,2041.8269716425268,440,237,272,191,261,190,111,136,54,0
2020-11-11,85244.8896252743,1939.9422105976112,977.3269716425267,326,126,134,72,94,69,28,55,13,0
2020-11-12,85596.00486422938,1328.4422105976112,2035.112685928241,381,402,225,173,255,208,103,116,39,0
2020-11-13,85337.62010318447,1776.7279248833254,2034.5793525949077,545,309,234,202,223,211,89,126,44,0
2020-11-14,85238.80200880622,1935.761258216659,848.0793525949076,309,85,84,62,55,48,15,27,16,0
2020-11-15,85676.48391442797,1285.761258216659,750.3293525949076,275,147,51,51,63,41,25,17,10,0
2020-11-16,86091.79082004972,1165.636258216659,2178.362685928241,411,499,277,177,232,196,113,121,39,0
2020-11-17,85590.89772567147,1677.4695915499922,2082.362685928241,474,263,308,187,203,239,112,131,39,0
2020-11-18,85359.00463129322,1850.4695915499922,1917.862685928241,473,193,199,181,270,179,106,110,59,0
2020-11-19,85051.61153691498,1610.4695915499922,2134.4663133353165,409,268,216,213,304,248,127,165,58,0
2020-11-20,84888.14801411457,1971.0027905349152,1948.6026769716802,523,248,197,177,240,191,102,103,42,0
